Source,Target,Type,Label,Weight
283225980,83100792,Undirected,,1
283225980,92016740,Undirected,,1
283225980,99677206,Undirected,,1
283225980,104150970,Undirected,,1
283225980,104507745,Undirected,,1
283225980,116173722,Undirected,,1
283225980,134154469,Undirected,,1
283225980,137284228,Undirected,,1
283225980,137777643,Undirected,,1
283225980,139175828,Undirected,,1
283225980,139526196,Undirected,,1
283225980,142251641,Undirected,,1
283225980,147247492,Undirected,,1
283225980,155275007,Undirected,,1
283225980,155816454,Undirected,,1
283225980,156276864,Undirected,,1
283225980,158445669,Undirected,,1
283225980,159312047,Undirected,,1
283225980,164141274,Undirected,,1
283225980,172272313,Undirected,,1
283225980,175084975,Undirected,,1
283225980,177126854,Undirected,,1
283225980,177889552,Undirected,,1
283225980,178752654,Undirected,,1
283225980,181755918,Undirected,,1
283225980,182022463,Undirected,,1
283225980,182087626,Undirected,,1
283225980,183164574,Undirected,,1
283225980,183936136,Undirected,,1
283225980,187316723,Undirected,,1
283225980,192027816,Undirected,,1
283225980,200643542,Undirected,,1
283225980,200738579,Undirected,,1
283225980,203558134,Undirected,,1
283225980,203743602,Undirected,,1
283225980,203994319,Undirected,,1
283225980,204252912,Undirected,,1
283225980,205771456,Undirected,,1
283225980,206869817,Undirected,,1
283225980,211815158,Undirected,,1
283225980,212236074,Undirected,,1
283225980,212426402,Undirected,,1
283225980,214574036,Undirected,,1
283225980,215376998,Undirected,,1
283225980,216878310,Undirected,,1
283225980,218600538,Undirected,,1
283225980,220957784,Undirected,,1
283225980,221980052,Undirected,,1
283225980,224755352,Undirected,,1
283225980,225717557,Undirected,,1
283225980,226842840,Undirected,,1
283225980,227393963,Undirected,,1
283225980,227995923,Undirected,,1
283225980,228729499,Undirected,,1
283225980,231975013,Undirected,,1
283225980,233634476,Undirected,,1
283225980,238433053,Undirected,,1
283225980,240755995,Undirected,,1
283225980,249653971,Undirected,,1
283225980,255869058,Undirected,,1
283225980,258251243,Undirected,,1
283225980,260516994,Undirected,,1
283225980,268814873,Undirected,,1
283225980,269588503,Undirected,,1
283225980,273044801,Undirected,,1
283225980,281762221,Undirected,,1
283225980,281815771,Undirected,,1
283225980,289115619,Undirected,,1
283225980,311995871,Undirected,,1
283225980,324094923,Undirected,,1
283225980,327954205,Undirected,,1
283225980,332038617,Undirected,,1
283225980,358241044,Undirected,,1
283225980,368560762,Undirected,,1
283225980,372461475,Undirected,,1
283225980,374163292,Undirected,,1
283225980,374254784,Undirected,,1
283225980,385535715,Undirected,,1
283225980,399765404,Undirected,,1
283225980,417042440,Undirected,,1
283225980,430303668,Undirected,,1
283225980,436853573,Undirected,,1
283225980,455738115,Undirected,,1
283225980,458469725,Undirected,,1
283225980,467902487,Undirected,,1
283225980,469483633,Undirected,,1
283225980,471880070,Undirected,,1
283225980,498238952,Undirected,,1
283225980,499488179,Undirected,,1
283225980,522047392,Undirected,,1
283225980,530831326,Undirected,,1
283225980,552285588,Undirected,,1
283225980,561423538,Undirected,,1
283225980,573583621,Undirected,,1
283225980,680738220,Undirected,,1
213703231,5448620,Undirected,,1
213703231,5892382,Undirected,,1
213703231,15386308,Undirected,,1
213703231,18783547,Undirected,,1
213703231,27980756,Undirected,,1
213703231,65951914,Undirected,,1
213703231,74990174,Undirected,,1
213703231,91634304,Undirected,,1
213703231,95370881,Undirected,,1
213703231,96125354,Undirected,,1
213703231,98950794,Undirected,,1
213703231,116650618,Undirected,,1
213703231,119253802,Undirected,,1
213703231,119796744,Undirected,,1
213703231,124079345,Undirected,,1
213703231,132968456,Undirected,,1
213703231,135562400,Undirected,,1
213703231,137115639,Undirected,,1
213703231,139677816,Undirected,,1
213703231,142776976,Undirected,,1
213703231,142907317,Undirected,,1
213703231,145474844,Undirected,,1
213703231,147106301,Undirected,,1
213703231,152349456,Undirected,,1
213703231,152362907,Undirected,,1
213703231,152396279,Undirected,,1
213703231,154022636,Undirected,,1
213703231,162446548,Undirected,,1
213703231,163036785,Undirected,,1
213703231,165007137,Undirected,,1
213703231,175618994,Undirected,,1
213703231,177776497,Undirected,,1
213703231,177908320,Undirected,,1
213703231,179580438,Undirected,,1
213703231,180811915,Undirected,,1
213703231,183596342,Undirected,,1
213703231,185313255,Undirected,,1
213703231,187294813,Undirected,,1
213703231,187689734,Undirected,,1
213703231,187758889,Undirected,,1
213703231,188084417,Undirected,,1
213703231,188163715,Undirected,,1
213703231,188437632,Undirected,,1
213703231,188829632,Undirected,,1
213703231,195320995,Undirected,,1
213703231,195830951,Undirected,,1
213703231,196974265,Undirected,,1
213703231,197808296,Undirected,,1
213703231,203315272,Undirected,,1
213703231,204887693,Undirected,,1
213703231,212775910,Undirected,,1
213703231,216130456,Undirected,,1
213703231,223708074,Undirected,,1
213703231,224058557,Undirected,,1
213703231,225062723,Undirected,,1
213703231,225075783,Undirected,,1
213703231,226292132,Undirected,,1
213703231,227785553,Undirected,,1
213703231,231314119,Undirected,,1
213703231,234408954,Undirected,,1
213703231,236508167,Undirected,,1
213703231,237978456,Undirected,,1
213703231,243993533,Undirected,,1
213703231,247891019,Undirected,,1
213703231,248635532,Undirected,,1
213703231,263635858,Undirected,,1
213703231,265737855,Undirected,,1
213703231,265838852,Undirected,,1
213703231,272886776,Undirected,,1
213703231,274889773,Undirected,,1
213703231,286454797,Undirected,,1
213703231,286563661,Undirected,,1
213703231,290119651,Undirected,,1
213703231,290859932,Undirected,,1
213703231,291417369,Undirected,,1
213703231,297121926,Undirected,,1
213703231,302193763,Undirected,,1
213703231,307554644,Undirected,,1
213703231,311607608,Undirected,,1
213703231,313701002,Undirected,,1
213703231,340348761,Undirected,,1
213703231,359337210,Undirected,,1
213703231,400677716,Undirected,,1
213703231,401913289,Undirected,,1
213703231,415252046,Undirected,,1
213703231,444865919,Undirected,,1
213703231,447313233,Undirected,,1
213703231,450200419,Undirected,,1
213703231,465954605,Undirected,,1
213703231,470671425,Undirected,,1
213703231,529979412,Undirected,,1
213703231,554758255,Undirected,,1
213703231,571512195,Undirected,,1
213703231,578952779,Undirected,,1
213703231,594902743,Undirected,,1
213703231,675113387,Undirected,,1
213703231,715858631,Undirected,,1
213703231,762428057,Undirected,,1
269704391,7963456,Undirected,,1
269704391,9512916,Undirected,,1
269704391,14001177,Undirected,,1
269704391,17331041,Undirected,,1
269704391,23241793,Undirected,,1
269704391,37689421,Undirected,,1
269704391,104410391,Undirected,,1
269704391,124798578,Undirected,,1
269704391,132934274,Undirected,,1
269704391,133953647,Undirected,,1
269704391,152475896,Undirected,,1
269704391,152685633,Undirected,,1
269704391,156100266,Undirected,,1
269704391,159330014,Undirected,,1
269704391,160484397,Undirected,,1
269704391,164062797,Undirected,,1
269704391,168706518,Undirected,,1
269704391,185851144,Undirected,,1
269704391,188891181,Undirected,,1
269704391,190067659,Undirected,,1
269704391,201740800,Undirected,,1
269704391,204102036,Undirected,,1
269704391,206589880,Undirected,,1
269704391,212543448,Undirected,,1
269704391,235935146,Undirected,,1
269704391,242302232,Undirected,,1
269704391,243993533,Undirected,,1
269704391,256145043,Undirected,,1
269704391,269612734,Undirected,,1
269704391,270552162,Undirected,,1
269704391,332096371,Undirected,,1
269704391,339125967,Undirected,,1
269704391,353134824,Undirected,,1
269704391,411422214,Undirected,,1
269704391,430520623,Undirected,,1
269704391,455576511,Undirected,,1
269704391,488979631,Undirected,,1
269704391,558149871,Undirected,,1
269704391,559712907,Undirected,,1
269704391,564129606,Undirected,,1
269704391,593800138,Undirected,,1
269704391,774277545,Undirected,,1
269704391,862420728,Undirected,,1
530831326,13005283,Undirected,,1
530831326,32441810,Undirected,,1
530831326,52462643,Undirected,,1
530831326,54205289,Undirected,,1
530831326,75785980,Undirected,,1
530831326,76557194,Undirected,,1
530831326,83100792,Undirected,,1
530831326,104507745,Undirected,,1
530831326,116173722,Undirected,,1
530831326,134154469,Undirected,,1
530831326,139526196,Undirected,,1
530831326,142251641,Undirected,,1
530831326,156276864,Undirected,,1
530831326,157246919,Undirected,,1
530831326,158270212,Undirected,,1
530831326,159312047,Undirected,,1
530831326,159654118,Undirected,,1
530831326,171814570,Undirected,,1
530831326,182022463,Undirected,,1
530831326,183164574,Undirected,,1
530831326,187280105,Undirected,,1
530831326,192027816,Undirected,,1
530831326,192805032,Undirected,,1
